contactsaddressid,vanid,zip5,latitude,longitude,activistcodeid
2183892,102329377,21286,,,4801933
2210196,101842031,38018,,,4801933
830737,100837250,85282,,,4801933
1661289,101841468,43230,,,4801933
2208775,102359769,30328,,,4801933
1660944,101841222,43230,,,4801933
2184761,102329377,21286,,,4801933
1526213,100837250,85282,,,4801933
1666814,101841468,43230,,,4801933
2183781,100835092,35080,,,4801932
2301017,102329377,21093,,,4801933
1870044,102037153,60515,,,4801933
2209103,102359472,39096,,,4801933
1657571,101839463,51106,,,4801932
1657571,101839463,51106,,,4801933
912410,100918923,48917,,,4801933
1693332,101839463,51106,,,4801932
1693332,101839463,51106,,,4801933
1661970,101842031,38018,,,4801933
2208420,102359472,39096,,,4801933
2208768,102359757,30350,,,4801933
828579,100835092,35080,,,4801932
1693491,101835892,19382,,,4801932
2208808,102359822,30328,,,4801933
2395005,102329377,21093,,,4801933
1660034,101835892,19382,,,4801932
2301021,102329377,21094,,,4801933
2207500,102358786,30350,,,4801932
2208778,102359774,30328,,,4801933
2207281,102329377,21094,,,4801933
,,,,,4801933
,,,,,4801933
,,,,,4801933
2340043,102337530,48118,,,4801933
887436,102034927,28608,,,4801932
887436,102034927,28608,,,4801933
2270560,102404675,77381,,,4801933
2227223,102371708,76001,,,4801933
1866169,102034927,33067,,,4801932
1866169,102034927,33067,,,4801933
2208769,102359758,30328,,,4801933
1869286,102034927,28607,,,4801932
1869286,102034927,28607,,,4801933
2186864,102339315,30087,,,4801933
2300816,102371708,76001,,,4801933
2202343,102353107,32765,,,4801933
842690,100849203,22302,,,4801932
1645900,101831118,43015,,,4801933
2210133,102360685,32818,,,4801933
1869683,102036843,60515,,,4801933
2208786,102359785,30350,,,4801933
1869278,102036617,43230,,,4801933
1693300,100849203,22302,,,4801932
2208777,102359772,30328,,,4801933
2178978,102325723,76040,,,4801933
,,,,,4801933
,,,,,4801933
1648396,101833065,92887,,,4801932
2208542,102036549,47408,,,4801932
1641959,101827281,34746,,,4801932
1679583,101850400,53704,,,4801932
1869697,102036853,30047,,,4801933
2185497,102338192,53558,,,4801933
2231704,102375317,80234,,,4801933
2207027,102036549,46064,,,4801932
1664441,101827281,34746,,,4801932
1869201,102036549,47406,,,4801932
1693487,101863604,53593,,,4801932
1660930,101841212,43004,,,4801933
1693272,101863604,53593,,,4801932
1883815,101850400,53707,,,4801932
1682812,101856200,29203,,,4801933
2145109,102301131,30047,,,4801933
1678160,101841212,43004,,,4801933
1869623,101827281,34744,,,4801932
2349898,101827281,94701,,,4801932
1675555,101850400,53704,,,4801932
,,,,,4801933
,,,,,4801933
,,,,,4801933
,,,,,4801933
1641640,101827058,85721,,,4801932
1693917,101845145,85737,,,4801932
2230692,102364644,36533,,,4801933
872430,100878943,33076,,,4801932
2219017,102365539,44060,,,4801933
1654343,100878943,33076,,,4801932
2207514,102358798,39301,,,4801933
2208781,102359779,30349,,,4801933
661732,100668245,48917,,,4801933
1666056,101845145,85718,,,4801932
2186786,102339229,30047,,,4801933
1693278,100878943,33076,,,4801932
1662014,100878943,,,,4801932
1692348,101862693,94022,,,4801933
1685551,101827058,85749,,,4801932
2184450,101863920,53704,,,4801933
2208813,102359828,30350,,,4801933
2225092,101858858,43015,,,4801933
1693451,100821462,38017,,,4801932
2217677,102364644,35229,,,4801933
1685258,101858790,48230,,,4801932
1685336,101858858,43015,,,4801933
2186329,101858858,43015,,,4801933
814949,100821462,38017,,,4801932
2184428,102329790,53704,,,4801933
2325050,102448187,34731,,,4801933
1869855,101858790,48230,,,4801932
1627195,100668245,,,,4801933
1677102,100821462,38017,,,4801932
955817,100962330,60515,,,4801933
2166376,101827058,85749,,,4801932
,,,,,4801933
1056169,101078979,,,,4801933
1642261,101827568,33759,,,4801932
1693453,100768201,27516,,,4801932
1693453,100768201,27516,,,4801933
2216956,102363995,75093,,,4801933
1692364,101862705,43230,,,4801933
2191174,102036999,33071,,,4801933
1640249,101825732,,,,4801932
1669001,100955882,92624,,,4801932
1644605,101829450,80020,,,4801932
949369,100955882,92624,,,4801932
2352946,102470367,84025,,,4801933
761688,100768201,27514,,,4801932
761688,100768201,27514,,,4801933
2166137,101829450,80020,,,4801932
2205069,102337351,92617,,,4801933
1660950,101841228,43230,,,4801933
1693417,101842957,53045,,,4801932
1869144,100768201,27514,,,4801932
1869144,100768201,27514,,,4801933
1870042,102037151,60515,,,4801933
1870305,102037373,91201,,,4801933
1657349,101825732,20052,,,4801932
1670230,101825732,63376,,,4801932
1683623,101842957,53045,,,4801932
2208763,102359751,30350,,,4801933
2207406,102358725,30047,,,4801933
1862692,101864133,48098,,,4801933
1864913,101825732,20006,,,4801932
2174356,101827568,33759,,,4801932
1660860,101841159,82072,,,4801933
1669074,101842957,,,,4801932
1872302,101078979,33067,,,4801933
1660371,101825732,63376,,,4801932
,,,,,4801933
2208762,102359750,30328,,,4801933
1641774,101827183,85287,,,4801933